Name;Review;Stars
Amanda Vincent;I am absolutely disgusted and feel abused by Housing Association maintenance. Council, mp.s involved one; 2 stars 
Sarah Sweetie;Worst housing association. They don't deal with antisocial behaviour, my flat is basically with paper walls... old wood flooring underneath a thin carpet, having loud neighbors and Housing Association won't take action. Don't move there if you want to stay healthy; 1 star 
george wakefield;Awful customer service. Terrible company and terrible staff. Absolute joke of a company. I dealt with Kevin whilst selling my property, this turned out to be 6 months of agony. There was constant miscommunication and losing of important documents which severely slowed the process down. When being promised call backs, they did not call and when you called there were levels of hostility from staff. When reacting to their rudeness, the call was threatened to be terminated even though I remained calm. They do not like criticism and selling my house through them has been an awful experience and I would not recommend.; 1 star 
S TheBookkeeper;Do not private rent from these people, they are the most inept and disorganised business I have ever dealt with. The central london properties are tempting but believe me its just not worth the aggravation.; 1 star 
Shirlz Ns2021;Wow what can I say this should be a -1star the worst thing they could of done is joined with Housing Association I have been with Family Mosaic/Housing Association for over 25 years and I can say how the lack of Care and specialism this Company now have, and it's such a pity that us poor tenants are left to deal with these people on a daily basis. I agree with many of the other reviews they lie, they are Rude, and really not know how to deal with their customers as they blatantly show no care at all.; 1 star 
Hamida Rahman;I would give minus 10 stars if I could. Money hungry thieving housing association. Duped their tenants into a pre-paid meter system that provides communal heating and charges £5 a day for basic hot water and heating. Contracts are for 25 years or more so you cannot even get out of it. But none of this was disclosed before signing agreement. Repairs service is awful. Fail to get back to you for months. You will constantly be chasing them up with zero outcome. Avoid like the plague people!; 1 star 
John Smith;No OTHER HOMES like them or Will be; 5 stars 
Steve Braddick;Hopeless task trying to report a repair.Long outdated Covid messages with complicated further call options.In one word Pathetic!; 1 star 
Zoltan Erdei;You are in the perfect place where you can chill .. I Love It; 5 stars 
T Gmail;"First of all, average of 2.9 stars comes from their employees and ""local guides"" (who earn points by leaving reviews) , don't be deceived, read REAL reviews with 1 star.

Moved to the UK 3 months ago and had no hot water in my flat for last two months. This has been a HUGE cultural shock for me to learn (from every one who moved here) that the UK only has incompetent landlords like Housing Association.

I have worked in few developing countries in where NOTHING works but the same struggle for a private apartment in one digit post code in central London is quite a shocker.

Problems about dealing with Housing Association for your housing disrepairs are that there is not a single person in organization in charge of your case. They don't generate case reference number either, so 1 in 3 helpline operators can't locate your case which results you being end up explaining everything about the past months to one of hundreds of operators at the helpline desk over the phone. And you NEVER get to speak to their managers and your only contact point at Housing Association is these hundreds of operators (each time different) who know almost nothing about your technical issues. All they can do is to take a memo, so that someone else (in higher hierarchy?) takes a look and give them a decision for the next step, but what if they don't get your problem? You tell them your house is on fire, and they type ""She needs a dentist"" instead of firefighters? So, that's basically what you have to deal with Housing Association on every single call.

Here are the details if you care to read ;

They always tell you that they can't get hold of the person at Asset Management Department (AMD) who is ""supposed to be looking after your case"", so they leave a memo to AMD to call you back but they NEVER do, for months even each calls to the operators at helpline they leaves same memo over and over again to AMD. Some sympathetic operator did an employee search for me about the person from AMD they are internally trying to get hold of for a month, result: this person is not on the employee list. I asked her to do the search for other neighbourhood manager's name we were given before, nope, this person is also not on the list of Housing Association employee either.

So you see, they ""have"" a person who are supposed to be in charge whom no one in the organisation can get hold of. All you will be told for months is to wait for a call from the person who probably doesn't even exist anymore??

In the mean while they assign you numbers of their out-sourced contractors without listening to your needs so they send you wrong guys each time to waste your time. Over the past one month they assigned Mia Gas to send us a gas engineer to our electric boiler problem. He left saying there is nothing he can do. Few weeks later they assigned a company called Axis to send an electric engineer when we specifically asked to send a plumber. Same, he came and said there is nothing he can do, he left. Finally, they send a plumber but again, they sent a wrong plumber to the issues that are not owned by them so he left saying their company is not allowed to touch the issue.

Housing Association and these contractors have no effective means of communication other than sending emails. They don't communicate so messages get lost. Housing Association sends ""We need an apple"" and the other end receives ""They need a banana"", so their IT system is also totally f*cked up and no one cares to look at it.

They merged with Family Mosaic in 2017 back then people protested for the mergers for two already too-big companies. They became too distant from their customers and everyone you speak tells you different things, provides you different (and wrong) diagnoses, and no one owns responsibilities. This is why your housing disrepair goes no where...

LAST BUT NOT LEAST, we are not even asking them to fix our boiler. We hired plumber company separately two month ago and all we want is to get a person in charge of the apartment structure to speak to our plumbers so they can continue their work!

I can only imagine what's like to ask Housing Association to do the actual fixing of your problem"; 1 star 
Sue Lewis;"Housing Association make appointment with you
Then don't turn up and then don't ring to rebook and No apology"; 1 star 
Damn Bruh;The wrist housing association in the world! Staff are delusional and the designated neighbourhood managers don’t do nothing. They don’t answer emails, phone calls, phone back requests. What the point. Avoid this organisation is you can.; 1 star 
Fabrizia Bonaventura;appalling customer care and property management. Avoid to live in buildings managed by them.; 1 star 
El Rayge;Expect the cruelest of lies and incompetence from middle management and above.; 1 star 
Sean;Terrible service, Couldn't care less about the people that live in their buildings.; 1 star 
Ben Braund;Housing Association's a scarce and important example of a pillar of society. A few of these organisations keep things from going completely askew. As a man-on-the-ground I commend them. Keep on, keeping on.; 5 stars 
Eduard Lucian Comaromi;"Once entered in the building every single visitor who will pass through the doors will be immediately welcomed by the 2 lovely women from reception.
Good job Housing Association for having such a good brand ambassador as those women!"; 5 stars 
Adam;No care for security, concierge and bike shed keeps getting broken into and Housing Association do nothing to improve or prevent further break-ins. Also awful customer service, impossible to ever get hold of someone for an update, they just don't care about the tenants. Shame they bought out Family Mosaic and we got stuck with them!; 1 star 
Emma Tarrant;Just another greedy corporation who have totally lost their original ethos.Lived in a market rent property of theirs but they increased the rent by 9 percent every November for 3 years in a row (27% in 24 month period) pushing us out of our home. They also wouldn't pay for any decoration to the property, despite it being in a below average state when we moved in.We painted and cleaned the carpets out of our own pocket. Repairs were to a very bad standard (after the usual struggle to speak to a member of their team) and they couldn't even fix a smoke alarm. Would never consider Housing Association for a property in the future.; 1 star 
Ahmed Sabir;"My name is Fabiha and I am a tenant of Housing Association.
I am appalled by their service and quality of their homes.
I have suffered months with mould in the property.
And for the last 1 month my home has been infested by foreign grain beatles which lives of moulds, has been indentified by the pest control who can not resolve this issue as it requires more than just pest control.
Bearing in mind I have a 3 year old child in this property and no one is addressing my issue.
The infestation is so bad I have found these beatle in our food and in my daughters nappy and of course its all over the house too coming out of every cracks and corners of the home to a point i find these in our  bed too(I have all video and images for proof). Housing Association has been really unhelpful with our issue and issue has still not beed resolved its been a month now, I have been living in this state. I cannot function on a day to day basis and this has disrupted the stability of my life along with my child.  My mental wellbeing has taken a drastic fall and this issue has taking far too long to resolve.

And to think people actually buy these homes !? Made with poor quality matireals which only looks good on the outside!
If this can happen to me and my family,  how many other households have Housing Association been negligent to?

I reccomend anyone who wants to move into or buy Housing Association home should avoid at all cost. Its disgusting and appalling on how cheap matireal is used to build these home and how much suffering is caused in the long run."; 1 star 
Mo Meknes;Housing Association take your rent and run. They don't like it when you complain and try to grind you down when you do and don't want your voice to be heard. Cowboys.; 1 star 
Vix Whiley;Silv1a Farrah is an evil vile woman I have no idea how this scumbag is employed here and allowed to access people personal data and deal with vulnerable people as a housing manager just sums up the whole organisation; 1 star 
Dave Ewen;Utterly shambolic organisation.  Months between contact and work getting done.  Most repair work needs repairing again almost immediately.  Terrible communication.  Just awful. 1 star is too much.; 1 star 
Max Shilo;Could be better, but not so bad after all; 4 stars 
Gary McCarthy;Disgusting  money stealing organisation; 1 star 
Gary Hollern;Worked here for 6 months in applications, great team; 4 stars 
Daniel Green;"To Whom this may Concern.

I am complaining about a on going repair that has not been taken out or done to a good standard.

I have made gallions(Housing Associations)aware and also axis who work on behalf of gallions.

I have a leak into my kitchen area and has been ongoing for 2 years in total. I have made all revellvent party's aware and also my landlord housing association.

The leak I do belive is hazardous to my health and is affecting my every day life and is causing a great deal of frustration whilst indoors in my property. The leak has caused a great deal of damage to the decor of my property and I do believe the leak to be coming from the waste stool pipe that is behind the plasterboard and can be seen all over affecting my ceiling. I have raised my concerns and feel it concerns me greater more so as I also have my family and two children that attend my property. It is a big health risk so would kindly appreciate that my concerns can now be acknowledged and taken seriously and that I can get my property back to suitable living conditions.

I would like for you to check with your records as you will see this has been ongoing with not a great deal of concern from your behalf nor acting as proffesional agents.

I have had an uncompitant worksman at my property around 22nd September 2015 that was unable to  carry out a repair because he had only came with his paint brushes and paint tins. And had left my property in a very bad state.

I then raised a complaint to gallions and axis again and at the same time and was confronted by an aggressive lady from axis office over the phone. I am know concerned as to Whom I may raise my concerns to and have also had to contact my local council.

I would greatly appreciate any reply back as to what steps will be taken and if we could all just work together to resolve these issues.

Please get in contact as my complaints is again logged by email on 14/03/2016

Regards Daniel Green

Please could I forward some more information on as I have not received any reply from my association instead received a rent arrears statement for which I am not in arrears.

To whom this may concern.

Please could you advise me as to my rights  concerning silica dust as I have more concerns.

My property is a first floor flat property affected by silica dust from construction work carried out back in 2014.

I do appreciate and understand work must be carried out for the new project and development of this local area but would like to raise my concerns as to how much dust from the debris is circulating through the air into my property and potentially could be causing difficulties to my health.

I seem to have aqquired some kind of allergy caused from the silica dust that has been affecting my property for the past two years and as to where my health has taken a down hill turn which seem to be leaving me suffering from long term cold like and allergy symtoms.

Please could you advise me my rights or the correct party to contact as this is my first point of contact regarding my concerns.

I am raising concerns.

As to the time the project is taking leaving the site in a way of feeling discarded.

And to how local residents including myself should be subject to live next to this pile of debris that currently still lays abandoned affecting the local area and the peoples health.

This is mostly affected on the bright  windy days so would like to point out oppretives should of been keeping regular checks to this site and keeping dust levels to a low following to the HSE rules and regulations and regularly wetting down the area to avoid affecting local residents.

Research suggest that silica dust is a great danger to one's health and have been linked to silicosis COPD or even carcinogenic so please understand my concerns I am raising.

Please see attached photos.

I kindly await your reply"; 1 star 
R K;My 1st flat experience has been a total nightmare. 90% of community centre staff are rude and housing manager Kay for Dalston lane block is awful and unhelpful. 2 years + same s***; 1 star 
Funky Feline13;Worst housing association on the planet avoid at all cost.; 1 star 
Oladapo Odeleye;Disabled access, easy access to public teansport.; 5 stars 
Robert Pring;Housing Association have the worst out of hours contact system I have ever experienced sat with no hot water or heating for two days with no means of contact ; 1 star 
Cherie Lindsey;Can be decent housing association.; 3 stars 
Gary Hun;Trash I will be suing them so should any of you; 1 star 
Bob The builder;School; 1 star 
Taija Oharaa;Unprofessional manager named Mr Sengendo; 1 star 
chuntao wu;Poor organization; 1 star 
Kieran Magee;Nice place; 5 stars 
Sebastian Alasino;They sent a guy for a check on my boiling and he broke it, now they told me that I have to find someone to fix it and I have to pay for it!!! Don't you ever allow someone from Housing Association to get in; 1 star 
Paschal Moloney;No heating in my flat; 1 star 
John Mahoney;I work for them; 5 stars 
uu Enoidem;Cool; 4 stars 
tamera gibbs;VERY bad communication no one on the teams are ever in or answering the phone including the manager . Viewing appointments are made and no one shows up very unprofessional,They need to change the whole staff and team or just shut the place down!; 1 star 
John Thompson;Could not hope to deal with better always been great help to me; 4 stars 
Juan Contreras;0 stars if I could. Worse service EVER; 1 star 
Ben Adelie;Housing Association HQ which includes Housing Association Trust as well as their myriad of subsidiaries. If you are a resident and you need help call Housing Association Direct as it's often a quick way to resolve a problem.; 4 stars 
mohammed bham;This Housing Association messed my girlfriend around for so long when it came to repairs that they should have done. She had enough and instructed Cromptons Solicitors and now they're begging her to let them do the work so they don't have to pay legal fees and compensation. My advice is if you're being messed around instruct a solicitor on no win no fee - ideally Cromptons solicitors; 1 star 
Hugo Veron;; 1 star 
Carla Saunders;; 5 stars 
belinda mitchell;; 3 stars 
Andy French;; 2 stars 
Michael Gibbons;; 5 stars 
Darcy D;; 2 stars 
Adrien Ricoux;; 5 stars 
Shaun Munroe;; 3 stars 
April Milliner;; 1 star 
Charles de Havilland;; 1 star 
Jim Barnes;; 5 stars 
Jack Kinoff;; 1 star 
Sharon Taylor;; 4 stars 
Ahmed Hussein;; 1 star 
Ilidio Colsoul;; 5 stars 
Ed Wallis;; 5 stars 
brian callaghan;; 1 star 
Alexandre Fernandes;; 5 stars 
George Panteli;; 5 stars 
Bucner Iuliu;; 5 stars 
Jonathan Niven;; 3 stars 
Mayank Pujara;; 5 stars 
Adesewa Ogunyomi;; 5 stars 
Aziz Shorty;; 3 stars 
Pooja Nirmal;; 5 stars 
Sphiinx _;; 5 stars 
Louise Robinson;; 5 stars 
andrew mcrae;; 5 stars 
